park_nm,park_gbn,lon,lat
악양생태공원,근린공원,128.234986,35.20224
희망공원,근린공원,128.1151847,35.15236917
함박웃음공원,근린공원,128.116431,35.156053
들빛공원,근린공원,128.118637,35.155451
초장1지구4어린이공원,어린이공원,128.114517,35.209689
신안2지구어린이공원,어린이공원,128.064763,35.182236
강남1소공원,소공원,128.0802723,35.18531965
강남2소공원,소공원,128.080358,35.184639
강남3소공원,소공원,128.083158,35.186225
강남4소공원,소공원,128.082997,35.1850404
강남5소공원,소공원,128.0836912,35.185159
강남6소공원,소공원,128.0845536,35.185627
강남7소공원,소공원,128.085559,35.186226
지수압사소공원,소공원,128.259175,35.234488
가산1소공원,소공원,128.319581,35.151076
가산2소공원,소공원,128.318877,35.151999
평거16어린이공원,어린이공원,128.070662,35.177248
평거17어린이공원,어린이공원,128.0678746,35.172144
물빛여울공원,문화공원,128.1427382,35.17580907
초장1지구 역사공원,역사공원,128.105637,35.211528
뜰향공원,근린공원,128.104289,35.147242
가람울공원,수변공원,128.1454848,35.17711164
담이울공원,수변공원,128.143272,35.175322
물초울공원,근린공원,128.139725,35.179264
대나무공원,어린이공원,128.149667,35.172659
정촌산단소공원,소공원,128.1017787,35.13121394
정촌1어린이공원,어린이공원,128.096285,35.115932
정촌산단수변공원,수변공원,128.099426,35.124404
평거4지구1공원,근린공원,128.049014,35.16444981
평거4지구2공원,근린공원,128.052147,35.163952
평거4지구1어린이공원,어린이공원,128.041157,35.166823
평거4지구2어린이공원,어린이공원,128.0439217,35.16675428
금산갈전소공원,소공원,128.155051,35.185281
초전택지근린공원,근린공원,128.115021,35.206934
초전1어린이공원,어린이공원,128.114662,35.204589
초전2어린이공원,어린이공원,128.1144577,35.2092845
대평1소공원,소공원,127.959226,35.233941
대평2소공원,소공원,127.962619,35.231777
대평3소공원,소공원,127.959102,35.230839
대평체육공원,체육공원,127.9627606,35.2302115
강주연못공원,수변공원,128.095103,35.113169
초장1지구1어린이공원,어린이공원,128.110828,35.214109
초장1지구2어린이공원,어린이공원,128.1103595,35.20893685
초장1지구3어린이공원,어린이공원,128.114563,35.210582
초장1지구2공원,근린공원,128.1112515,35.21073947
문산1공원,근린공원,128.163911,35.156266
초장1지구1공원,근린공원,128.109361,35.214724
초장1지구3공원,근린공원,128.104002,35.211851
초장1지구문화공원,문화공원,128.114234,35.212373
정촌산단공원,근린공원,128.1058881,35.11852941
혁신도시1공원,근린공원,128.139904,35.1821079
노을지공원,근린공원,128.133684,35.177977
기쁨누리공원,근린공원,128.136554,35.178002
바람모아공원,근린공원,128.130071,35.171923
나래공원,근린공원,128.133617,35.173717
생기율공원,근린공원,128.138518,35.176581
따스하리공원,근린공원,128.1396179,35.16868938
아람울공원,근린공원,128.1454908,35.17734141
한터울공원,근린공원,128.147582,35.174703
참살이울공원,근린공원,128.144867,35.172732
하얀울공원,근린공원,128.156836,35.172035
나누미공원,소공원,128.139746,35.179299
쌈지울공원,소공원,128.146879,35.180146
한치울공원,소공원,128.1439685,35.17700655
소담울공원,소공원,128.146334,35.169804
실크공원,어린이공원,128.148579,35.182269
조약돌공원,어린이공원,128.151286,35.176422
이음새공원,어린이공원,128.1541542,35.17680118
물새공원,어린이공원,128.142612,35.169781
여우별공원,어린이공원,128.1381659,35.17299411
토끼달공원,어린이공원,128.137701,35.169759
여울목공원,수변공원,128.140666,35.179712
평거햇살공원,어린이공원,128.058707,35.169475
평거달팽이공원,어린이공원,128.056872,35.169703
평거종이비행기공원,어린이공원,128.0612465,35.16880743
원계어린이공원,어린이공원,128.103941,35.145127
이현1근린공원,근린공원,128.055661,35.194309
사봉산단1공원,근린공원,128.2747329,35.18824764
사봉산단2공원,근린공원,128.283883,35.183992
사봉산단3공원,근린공원,128.2858901,35.18417882
초전공원,근린공원,128.1250555,35.20888274
가호12어린이공원,어린이공원,128.1110015,35.16543675
가호13어린이공원,어린이공원,128.108522,35.163423
이현1어린이공원,어린이공원,128.059782,35.193679
중천2공원,근린공원,128.139484,35.218293
중천어린이공원,어린이공원,128.140845,35.216082
가호6어린이공원,어린이공원,128.113391,35.163371
가호7어린이공원,어린이공원,128.116905,35.164279
가호8어린이공원,어린이공원,128.114589,35.162471
가호9어린이공원,어린이공원,128.108594,35.154655
가호10어린이공원,어린이공원,128.101361,35.148727
가호11어린이공원,어린이공원,128.1086785,35.15835784
대평어린이공원,어린이공원,127.9602987,35.23418634
남가람공원,문화공원,128.0821768,35.1872062
프린지공원,근린공원,128.106352,35.151688
평거3근린공원,근린공원,128.0582961,35.1677021
평거7어린이공원,어린이공원,128.065488,35.177502
평거8어린이공원,어린이공원,128.0680015,35.17690888
평거9어린이공원,어린이공원,128.063754,35.174796
평거10어린이공원,어린이공원,128.062819,35.172548
평거11어린이공원,어린이공원,128.065455,35.171421
평거12어린이공원,어린이공원,128.066641,35.173715
중천1공원,근린공원,128.141834,35.218153
하대중앙공원,어린이공원,128.119337,35.19421219
도래새미공원,어린이공원,128.1248053,35.1923774
칠암어린이공원,어린이공원,128.0928757,35.18369238
가마못공원,어린이공원,128.073975,35.20199926
봉원2어린이공원,어린이공원,128.066899,35.201388
가호1어린이공원,어린이공원,128.106637,35.16027404
가호2어린이공원,어린이공원,128.106265,35.158705
문산어린이공원,어린이공원,128.165789,35.166207
평거1어린이공원,어린이공원,128.0519994,35.17007484
평거3어린이공원,어린이공원,128.0583422,35.17359399
송림공원,근린공원,128.108166,35.175762
평거4어린이공원,어린이공원,128.068319,35.181762
평거2어린이공원,어린이공원,128.050252,35.169219
상평동동어린이공원,어린이공원,128.124332,35.173105
상평서동어린이공원,어린이공원,128.1143076,35.16971441
가호3어린이공원,어린이공원,128.111142,35.162452
가호4어린이공원,어린이공원,128.1084868,35.16100942
가호5어린이공원,어린이공원,128.108262,35.162217
평거5어린이공원,어린이공원,128.069702,35.176587
평거6어린이공원,어린이공원,128.066503,35.178893
수정어린이공원,어린이공원,128.0851351,35.19736409
남강선사유적공원,역사공원,127.961967,35.22438491
장대어린이공원,어린이공원,128.088461,35.19301148
진주성공원,역사공원,128.0802214,35.19043229
제71호 어린이공원,어린이공원,128.582203,35.224652
제72호 어린이공원,어린이공원,128.582044,35.228863
제87호 어린이공원,어린이공원,128.574783,35.233043
제11호 어린이공원,어린이공원,128.567547,35.219794
제86호 어린이공원,어린이공원,128.589086,35.246446
10호 소공원,소공원,128.569447,35.228787
11호 소공원,소공원,128.569385,35.228655
12호 소공원,소공원,128.570231,35.226759
13호 소공원,소공원,128.571761,35.226845
15호 소공원,소공원,128.564772,35.217408
16호 소공원,소공원,128.5651538,35.218161
17호 소공원,소공원,128.569519,35.218996
18호 소공원,소공원,128.570443,35.223143
용지,근린공원,128.684638,35.230562
토월,근린공원,128.69521,35.234708
남산,근린공원,128.6191967,35.25767433
평산,근린공원,128.6150604,35.25146305
가술공원,근린공원,128.6986467,35.33341741
감계3호,근린공원,128.5940869,35.30072
감계4호,근린공원,128.5866066,35.30305444
무동1호,근린공원,128.586437,35.316867
제198호,소공원,128.6430217,35.25308213
반계,소공원,128.605252,35.254689
감계1호,소공원,128.5934915,35.297211
일동지구 제2호,소공원,128.6938468,35.36730446
도계,체육공원,128.6411926,35.25835179
소계,체육공원,128.5951646,35.26044665
사림천,어린이공원,128.683085,35.24428613
사림,어린이공원,128.686075,35.248624
두럭,어린이공원,128.6263915,35.266327
무동2호,어린이공원,128.5824059,35.315321
무동3호,어린이공원,128.5822293,35.32030826
신리,어린이공원,128.6042548,35.34786815
고향의봄,어린이공원,128.627787,35.267271
소답,어린이공원,128.626218,35.261861
두리,어린이공원,128.630172,35.26286912
목련,어린이공원,128.633599,35.26064852
백옥,어린이공원,128.6359062,35.261976
진달래,어린이공원,128.639413,35.262845
개나리,어린이공원,128.6398475,35.26046104
국화,어린이공원,128.636181,35.259182
장미,어린이공원,128.6380883,35.25773
매화,어린이공원,128.640634,35.257096
한우리,어린이공원,128.639982,35.25548512
풀잎,어린이공원,128.637513,35.255373
믿음,어린이공원,128.639188,35.250075
기쁨,어린이공원,128.640988,35.246684
새싹,어린이공원,128.643182,35.24227179
띠앗,어린이공원,128.6274346,35.26579376
정다운,어린이공원,128.650552,35.24897732
석류,어린이공원,128.6546709,35.24487934
단풍,어린이공원,128.6647475,35.24834852
봉곡중앙,어린이공원,128.6664571,35.247886
향나무,어린이공원,128.668173,35.24730734
달빛,어린이공원,128.695861,35.227874
만남,어린이공원,128.647451,35.242676
늘푸른,어린이공원,128.6523524,35.23307073
용호,어린이공원,128.683798,35.23958139
구슬비,어린이공원,128.6135834,35.260289
이슬,어린이공원,128.6473788,35.251673
미르말,어린이공원,128.612955,35.253011
마루,어린이공원,128.6116966,35.256869
소망,어린이공원,128.609208,35.255126
벼리,어린이공원,128.639571,35.25349585
대나무,어린이공원,128.674089,35.247768
느티,어린이공원,128.678759,35.24615
꿈동산,어린이공원,128.655473,35.248733
81호,어린이공원,128.621718,35.256239
신월,어린이공원,128.69295,35.23110837
송아리,어린이공원,128.647477,35.240847
바람산책,어린이공원,128.664317,35.251198
나무그늘,어린이공원,128.666856,35.252631
꽃향기,어린이공원,128.668728,35.254371
빛고운,어린이공원,128.670706,35.251605
위브,어린이공원,128.6424203,35.25316672
거님길,어린이공원,128.6415968,35.24252577
거님길 가족쉼터,어린이공원,128.641202,35.242723
119호,어린이공원,128.592157,35.298927
120호,어린이공원,128.5954905,35.29974134
191호,어린이공원,128.5930344,35.30296292
203호,어린이공원,128.59967,35.304467
동전1호,어린이공원,128.598562,35.316069
무동1호,어린이공원,128.5821986,35.317566
믿음,어린이공원,128.639188,35.250075
기쁨,어린이공원,128.640988,35.246684
새싹,어린이공원,128.643182,35.24227179
띠앗,어린이공원,128.6274346,35.26579376
정다운,어린이공원,128.650552,35.24897732
석류,어린이공원,128.6546709,35.24487934
단풍,어린이공원,128.6647475,35.24834852
봉곡중앙,어린이공원,128.6664571,35.247886
향나무,어린이공원,128.668173,35.24730734
달빛,어린이공원,128.695861,35.227874
만남,어린이공원,128.647451,35.242676
늘푸른,어린이공원,128.6523524,35.23307073
용호,어린이공원,128.683798,35.23958139
공룡,어린이공원,128.680996,35.24708331
소나무,어린이공원,128.687487,35.24267475
퇴촌천,어린이공원,128.6875202,35.241064
어울림,어린이공원,128.6858439,35.23765159
양지,어린이공원,128.6946378,35.22724637
해오름,어린이공원,128.6895937,35.22997105
한마음,어린이공원,128.6486287,35.24594082
윤슬,어린이공원,128.61702,35.260878
당산목,어린이공원,128.6800968,35.243374
미리내,어린이공원,128.644328,35.247342
하늘,어린이공원,128.6106906,35.258772
공룡,어린이공원,128.680996,35.24708331
소나무,어린이공원,128.687487,35.24267475
퇴촌천,어린이공원,128.6875202,35.241064
어울림,어린이공원,128.6858439,35.23765159
양지,어린이공원,128.6946378,35.22724637
해오름,어린이공원,128.6895937,35.22997105
한마음,어린이공원,128.6486287,35.24594082
윤슬,어린이공원,128.61702,35.260878
당산목,어린이공원,128.6800968,35.243374
미리내,어린이공원,128.644328,35.247342
하늘,어린이공원,128.6106906,35.258772
구슬비,어린이공원,128.6135834,35.260289
이슬,어린이공원,128.6473788,35.251673
미르말,어린이공원,128.612955,35.253011
마루,어린이공원,128.6116966,35.256869
소망,어린이공원,128.609208,35.255126
벼리,어린이공원,128.639571,35.25349585
대나무,어린이공원,128.674089,35.247768
느티,어린이공원,128.678759,35.24615
꿈동산,어린이공원,128.655473,35.248733
81호,어린이공원,128.621718,35.256239
신월,어린이공원,128.69295,35.23110837
송아리,어린이공원,128.647477,35.240847
바람산책,어린이공원,128.664317,35.251198
나무그늘,어린이공원,128.666856,35.252631
꽃향기,어린이공원,128.668728,35.254371
빛고운,어린이공원,128.670706,35.251605
위브,어린이공원,128.6424203,35.25316672
거님길,어린이공원,128.6415968,35.24252577
거님길 가족쉼터,어린이공원,128.641202,35.242723
119호,어린이공원,128.592157,35.298927
120호,어린이공원,128.5954905,35.29974134
191호,어린이공원,128.5930344,35.30296292
203호,어린이공원,128.59967,35.304467
동전1호,어린이공원,128.598562,35.316069
무동1호,어린이공원,128.5821986,35.317566
무동2호,어린이공원,128.5824059,35.315321
무동3호,어린이공원,128.5822293,35.32030826
신리,어린이공원,128.6042548,35.34786815
일동1호,어린이공원,128.693652,35.366454
삼봉공원,어린이공원,128.693685,35.331931
느티나무생태,어린이공원,128.6246915,35.258855
하늘길생태,어린이공원,128.6290563,35.26009844
한들공원,소공원,128.6675439,35.25513465
반송공원,근린공원,128.673685,35.238749
불모산공원,근린공원,128.6993041,35.22615288
대상공원,근린공원,128.6730869,35.221002
토월공원,근린공원,128.6984643,35.23079881
209호,소공원,128.699087,35.228231
신덕,어린이공원,128.697467,35.229849
청석,어린이공원,128.6636617,35.241186
31호,어린이공원,128.6648406,35.24104267
금강,어린이공원,128.6640642,35.23882765
황새,어린이공원,128.673337,35.224844
비둘기,어린이공원,128.6744985,35.22436456
여우비,어린이공원,128.675114,35.227363
고산마을,어린이공원,128.701862,35.228463
구지,어린이공원,128.702304,35.221766
개월,어린이공원,128.699074,35.220721
강정,어린이공원,128.6968659,35.22235512
푸르미,어린이공원,128.685892,35.220208
청명,어린이공원,128.685631,35.218122
고산정,어린이공원,128.7011211,35.23028169
마산-31호공원,어린이공원,128.583249,35.218705
마산-32호공원,어린이공원,128.578533,35.217638
두럭,어린이공원,128.6263915,35.266327
고향의봄,어린이공원,128.627787,35.267271
소답,어린이공원,128.626218,35.261861
두리,어린이공원,128.630172,35.26286912
목련,어린이공원,128.633599,35.26064852
백옥,어린이공원,128.6359062,35.261976
진달래,어린이공원,128.639413,35.262845
개나리,어린이공원,128.6398475,35.26046104
국화,어린이공원,128.636181,35.259182
장미,어린이공원,128.6380883,35.25773
매화,어린이공원,128.640634,35.257096
한우리,어린이공원,128.639982,35.25548512
풀잎,어린이공원,128.637513,35.255373
감계1호,소공원,128.5934915,35.297211
일동지구 제2호,소공원,128.6938468,35.36730446
도계,체육공원,128.6411926,35.25835179
소계,체육공원,128.5951646,35.26044665
사림천,어린이공원,128.683085,35.24428613
사림,어린이공원,128.686075,35.248624
용지,근린공원,128.684638,35.230562
토월,근린공원,128.69521,35.234708
남산,근린공원,128.6191967,35.25767433
평산,근린공원,128.6150604,35.25146305
가술공원,근린공원,128.6986467,35.33341741
감계3호,근린공원,128.5940869,35.30072
감계4호,근린공원,128.5866066,35.30305444
무동1호,근린공원,128.586437,35.316867
제198호,소공원,128.6430217,35.25308213
반계,소공원,128.605252,35.254689
일동1호,어린이공원,128.693652,35.366454
삼봉공원,어린이공원,128.693685,35.331931
느티나무생태,어린이공원,128.6246915,35.258855
하늘길생태,어린이공원,128.6290563,35.26009844
한들공원,소공원,128.6675439,35.25513465
반송공원,근린공원,128.673685,35.238749
제25호 어린이공원,어린이공원,128.580801,35.234146
제26호 어린이공원,어린이공원,128.5844431,35.23498233
제27호 어린이공원,어린이공원,128.588431,35.235417
제29호 어린이공원,어린이공원,128.596884,35.222829
제30호 어린이공원,어린이공원,128.598146,35.220902
제33호 어린이공원,어린이공원,128.573891,35.218414
제34호 어린이공원,어린이공원,128.572667,35.221479
제35호 어린이공원,어린이공원,128.568575,35.227371
제36호 어린이공원,어린이공원,128.566821,35.231033
제39호 어린이공원,어린이공원,128.567142,35.221588
제40호 어린이공원,어린이공원,128.563782,35.219591
석전 근린공원,근린공원,128.5693714,35.229724
팔룡 근린공원,근린공원,128.590732,35.225837
중앙 근린공원,근린공원,128.576706,35.224239
제15호 어린이공원,어린이공원,128.596756,35.257254
제16호 어린이공원,어린이공원,128.596867,35.254862
제17호 어린이공원,어린이공원,128.593676,35.253549
제18호 어린이공원,어린이공원,128.599264,35.253612
제19호 어린이공원,어린이공원,128.5981057,35.249397
제20호 어린이공원,어린이공원,128.583342,35.243232
제21호 어린이공원,어린이공원,128.588608,35.241737
제22호 어린이공원,어린이공원,128.580957,35.239993
제24호 어린이공원,어린이공원,128.577427,35.233016
19호 소공원,소공원,128.595476,35.250202
3.15 근린공원,근린공원,128.589058,35.253942
삼각지 근린공원,근린공원,128.588704,35.220459
마산-31호공원,어린이공원,128.583249,35.218705
마산-32호공원,어린이공원,128.578533,35.217638
고산정,어린이공원,128.7011211,35.23028169
청명,어린이공원,128.685631,35.218122
209호,소공원,128.699087,35.228231
신덕,어린이공원,128.697467,35.229849
청석,어린이공원,128.6636617,35.241186
31호,어린이공원,128.6648406,35.24104267
금강,어린이공원,128.6640642,35.23882765
황새,어린이공원,128.673337,35.224844
비둘기,어린이공원,128.6744985,35.22436456
여우비,어린이공원,128.675114,35.227363
고산마을,어린이공원,128.701862,35.228463
구지,어린이공원,128.702304,35.221766
개월,어린이공원,128.699074,35.220721
강정,어린이공원,128.6968659,35.22235512
푸르미,어린이공원,128.685892,35.220208
토월공원,근린공원,128.6984643,35.23079881
대상공원,근린공원,128.6730869,35.221002
불모산공원,근린공원,128.6993041,35.22615288
석동1공원,소공원,128.694604,35.160045
소공원,소공원,128.6691652,35.15369057
석동공원,어린이공원,128.703952,35.151136
자은1공원,어린이공원,128.7017609,35.155969
자은2공원,어린이공원,128.700787,35.15304033
자은3공원,어린이공원,128.709296,35.153366
장복산공원,근린공원,128.6587193,35.17214852
석동근린공원,근린공원,128.7051421,35.15300069
경화제2공원,어린이공원,128.682781,35.161854
석동2지구제1공원,어린이공원,128.704676,35.157146
석동2지구제2공원,어린이공원,128.70976,35.155655
석동2공원,어린이공원,128.695475,35.15828928
가음정공원,근린공원,128.688857,35.212174
삼정자공원,근린공원,128.7078519,35.197166
상남공원,근린공원,128.6871509,35.21652257
남지공원,근린공원,128.6716155,35.19550617
양곡공원,근린공원,128.6432,35.182773
월림공원,근린공원,128.646931,35.207928
신촌공원,근린공원,128.621328,35.21098936
기업사랑공원,근린공원,128.686545,35.209588
대방체육공원,체육공원,128.7118792,35.216075
1호,소공원,128.7095604,35.19824135
22호,소공원,128.714541,35.194779
31호,소공원,128.678004,35.216122
39호,소공원,128.723793,35.188731
49호,소공원,128.707491,35.187852
창원묘지공원,묘지공원,128.6636211,35.19185782
나래,어린이공원,128.703001,35.2078314
다솜,어린이공원,128.700975,35.212382
먼등,어린이공원,128.705873,35.215727
대암,어린이공원,128.7110406,35.20650394
안민,어린이공원,128.6888982,35.187044
꿈꾸러기,어린이공원,128.6883895,35.214631
온누리,어린이공원,128.7021441,35.206562
샛별,어린이공원,128.702331,35.20519331
75호,어린이공원,128.710901,35.19988991
97호,어린이공원,128.7167548,35.19811189
성주,어린이공원,128.716077,35.195624
99호,어린이공원,128.721507,35.192797
웅남,어린이공원,128.628761,35.201375
쉼터,어린이공원,128.628244,35.201475
푸른,어린이공원,128.6282663,35.201191
94호,어린이공원,128.7042069,35.205016
200호,어린이공원,128.723508,35.190471
205호,어린이공원,128.715097,35.194867
가음정공원,근린공원,128.688857,35.212174
삼정자공원,근린공원,128.7078519,35.197166
제43호 어린이공원,어린이공원,128.617332,35.213286
석동2공원(그린빌공원),근린공원,128.7065752,35.15520749
99호,어린이공원,128.721507,35.192797
웅남,어린이공원,128.628761,35.201375
쉼터,어린이공원,128.628244,35.201475
푸른,어린이공원,128.6282663,35.201191
94호,어린이공원,128.7042069,35.205016
200호,어린이공원,128.723508,35.190471
205호,어린이공원,128.715097,35.194867
안민,어린이공원,128.6888982,35.187044
꿈꾸러기,어린이공원,128.6883895,35.214631
온누리,어린이공원,128.7021441,35.206562
샛별,어린이공원,128.702331,35.20519331
75호,어린이공원,128.710901,35.19988991
97호,어린이공원,128.7167548,35.19811189
성주,어린이공원,128.716077,35.195624
대방체육공원,체육공원,128.7118792,35.216075
1호,소공원,128.7095604,35.19824135
22호,소공원,128.714541,35.194779
31호,소공원,128.678004,35.216122
39호,소공원,128.723793,35.188731
49호,소공원,128.707491,35.187852
창원묘지공원,묘지공원,128.6636211,35.19185782
나래,어린이공원,128.703001,35.2078314
다솜,어린이공원,128.700975,35.212382
먼등,어린이공원,128.705873,35.215727
대암,어린이공원,128.7110406,35.20650394
양곡공원,근린공원,128.6432,35.182773
월림공원,근린공원,128.646931,35.207928
신촌공원,근린공원,128.621328,35.21098936
기업사랑공원,근린공원,128.686545,35.209588
남지공원,근린공원,128.6716155,35.19550617
상남공원,근린공원,128.6871509,35.21652257
경화제2공원,어린이공원,128.682781,35.161854
석동2지구제1공원,어린이공원,128.704676,35.157146
석동2지구제2공원,어린이공원,128.70976,35.155655
석동2공원,어린이공원,128.695475,35.15828928
석동1공원,소공원,128.694604,35.160045
소공원,소공원,128.6691652,35.15369057
석동공원,어린이공원,128.703952,35.151136
자은1공원,어린이공원,128.7017609,35.155969
자은2공원,어린이공원,128.700787,35.15304033
자은3공원,어린이공원,128.709296,35.153366
장복산공원,근린공원,128.6587193,35.17214852
제59호 어린이공원,어린이공원,128.502868,35.238024
제61호 어린이공원,어린이공원,128.495093,35.231138
제62호 어린이공원,어린이공원,128.496479,35.227679
제63호 어린이공원,어린이공원,128.498656,35.230029
마산-3호(산호공원),근린공원,128.582603,35.213837
마산-구항공원-11호공원,근린공원,128.57191,35.197554
마산-노비산공원,근린공원,128.5741319,35.2141073
마산-추산공원,근린공원,128.5689093,35.20567103
마산-만날공원,근린공원,128.548632,35.184713
마산-자산공원,어린이공원,128.560392,35.201271
마산-42호공원,어린이공원,128.563383,35.214707
마산-50호공원,어린이공원,128.563011,35.206094
마산-51호공원,어린이공원,128.56101,35.204227
제37호 어린이공원,어린이공원,128.559095,35.233561
제38호 어린이공원,어린이공원,128.556994,35.233128
제41호 어린이공원,어린이공원,128.560104,35.215955
제44호 어린이공원,어린이공원,128.511344,35.251046
제45호 어린이공원,어린이공원,128.509318,35.249821
제46호 어린이공원,어린이공원,128.507466,35.246936
제47호 어린이공원,어린이공원,128.504014,35.243249
제48호 어린이공원,어린이공원,128.498954,35.245907
제49호 어린이공원,어린이공원,128.500587,35.244626
제57호 어린이공원,어린이공원,128.503604,35.227674
제58호 어린이공원,어린이공원,128.501325,35.233546
상곡 근린공원,근린공원,128.499936,35.239859
중리 근린공원,근린공원,128.505409,35.248542
삼계 근린공원,근린공원,128.502764,35.225646
원계 근린공원,근린공원,128.5058877,35.237213
마산-자산공원,어린이공원,128.560392,35.201271
마산-42호공원,어린이공원,128.563383,35.214707
마산-50호공원,어린이공원,128.563011,35.206094
마산-51호공원,어린이공원,128.56101,35.204227
마산-54호공원,어린이공원,128.5721855,35.19927659
마산-55호공원,어린이공원,128.564193,35.184831
마산-56호공원,어린이공원,128.563776,35.177844
마산-68호공원,어린이공원,128.55879,35.198032
마산-69호공원,어린이공원,128.565071,35.205288
마산-70호공원,어린이공원,128.572129,35.201618
마산-3호(산호공원),근린공원,128.582603,35.213837
마산-구항공원-11호공원,근린공원,128.57191,35.197554
마산-노비산공원,근린공원,128.5741319,35.2141073
마산-추산공원,근린공원,128.5689093,35.20567103
마산-만날공원,근린공원,128.548632,35.184713
마산-진동공원,근린공원,128.49135,35.119768
마산-서항공원-12호공원,근린공원,128.566052,35.176497
마산-근린공원-6(현동공원),근린공원,128.55783,35.148049
마산-근린공원-26(현동공원),근린공원,128.548538,35.146073
마산-어린이공원-1,어린이공원,128.55803,35.143427
마산-어린이공원-3,어린이공원,128.550638,35.146177
마산-어린이공원-4,어린이공원,128.560107,35.14004
마산-어린이공원-5,어린이공원,128.554695,35.15341
마산-52호공원,어린이공원,128.55894,35.173599
마산-53호공원,어린이공원,128.557189,35.170725
마산-진동4호공원(77호),어린이공원,128.490649,35.114883
마산-진북2호공원,어린이공원,128.464534,35.115664
마산-진전2호공원,어린이공원,128.417423,35.100925
문화공원(창원덴소도시첨단산업단지),문화공원,128.55017,35.156485
마산-어린이공원-5,어린이공원,128.554695,35.15341
마산-52호공원,어린이공원,128.55894,35.173599
마산-53호공원,어린이공원,128.557189,35.170725
마산-어린이공원-82(진북4호공원),어린이공원,128.4841,35.140671
마산-어린이공원-83(진북5호공원),어린이공원,128.483026,35.140605
마산-어린이공원-84,어린이공원,128.480871,35.140406
마산-어린이공원-85,어린이공원,128.481395,35.140232
마산-진동1호공원(74호),어린이공원,128.486814,35.117282
